code,company,fund
0431Q169,大和,ｉＦｒｅｅ　ＮＹダウ・インデックス
47312067,Ｏｎｅ,日本製鉄グループ株式オープン
0431307C,大和,ダイワ・ダイナミック・インド株ファンド
9C31119C,レオス,ひふみワールド＋
3531299B,ＧＳ,ｎｅｔＷＩＮ　ＧＳテクノロジー株式ファンド　Ｂコース（為替ヘッジなし）
6431717B,三井住友ＴＡＭ,ＳＭＴ　ゴールドインデックス・オープン（為替ヘッジあり）
03311156,三菱ＵＦＪ国際,ｅＭＡＸＩＳプラス　コモディティインデックス
03312184,三菱ＵＦＪ国際,ｅＭＡＸＩＳ　Ｓｌｉｍ　全世界株式（３地域均等型）
64314081,三井住友ＴＡＭ,ＳＭＴ　グローバル株式インデックス・オープン
64311081,三井住友ＴＡＭ,ＳＢＩ資産設計オープン（資産成長型）
